koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
FALSE POSITIVE,0,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96,505.6,1,q1_q17_dr25_tce,5805,4.564,0.791,15.597
FALSE POSITIVE,0,0,1,1,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342,767.22,47.7,1,q1_q17_dr25_tce,6227,3.986,1.958,12.66
FALSE POSITIVE,0,0,1,0,0,11.52144606,170.839688,2.483,3.6399,17984,150.51,753,75.88,622.1,1,q1_q17_dr25_tce,5795,4.554,0.848,15.472
FALSE POSITIVE,0,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523,17.69,214.7,1,q1_q17_dr25_tce,5043,4.591,0.68,15.487
FALSE POSITIVE,0,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,74284,49.29,698,55.97,2317,1,q1_q17_dr25_tce,6117,4.496,0.947,15.341
FALSE POSITIVE,0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479,7.94,595,29.61,303.4,1,q1_q17_dr25_tce,5152,4.517,0.786,15.788
FALSE POSITIVE,0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,305.34,48.2,1,q1_q17_dr25_tce,4989,4.504,0.819,15.269
FALSE POSITIVE,,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927,41.5,297,1.84,994,1,q1_q16_tce,5543,4.081,1.58,12.394
FALSE POSITIVE,0,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,181.1,1,q1_q17_dr25_tce,5714,4.563,0.831,15.525
FALSE POSITIVE,0,0,1,1,0,670.645531,209.04355,0.701,53.412,18091,14.14,196,0.35,642.7,1,q1_q17_dr25_tce,5520,4.466,0.983,15.207
FALSE POSITIVE,0,0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,15.43,85.3,1,q1_q17_dr25_tce,6144,4.402,1.091,15.25
CONFIRMED,0.992,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,51.2,2,q1_q17_dr25_tce,5031,4.485,0.848,15.841
CONFIRMED,1,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,47.1,3,q1_q17_dr25_tce,5031,4.485,0.848,15.841
CONFIRMED,1,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593,29.31,33.2,1,q1_q17_dr25_tce,5015,4.499,0.826,15.39
CONFIRMED,1,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,80,1,q1_q17_dr25_tce,5586,4.56,0.798,15.082
